Location,Pincode,State,District
Achanthuruthi,671351,Kerala,Kasargod
Achikanam,671531,Kerala,Kasargod
Adkathbail,671121,Kerala,Kasargod
Adur,671543,Kerala,Kasargod
Ajanur,671531,Kerala,Kasargod
Alampady,671123,Kerala,Kasargod
Ammeri,671322,Kerala,Kasargod
Anandashrama,671531,Kerala,Kasargod
Anekallu,671323,Kerala,Kasargod
Angadimogaru,671321,Kerala,Kasargod
Arikady,671321,Kerala,Kasargod
Ariyapady,671551,Kerala,Kasargod
Attenganam,671531,Kerala,Kasargod
Badaje,671323,Kerala,Kasargod
Badur,671321,Kerala,Kasargod
Balal,671533,Kerala,Kasargod
Balanthode,671532,Kerala,Kasargod
Balemoole,671552,Kerala,Kasargod
Balla,671531,Kerala,Kasargod
Bandadka,671541,Kerala,Kasargod
Bangramanjeshwar,671323,Kerala,Kasargod
Bare,671319,Kerala,Kasargod
Bayar,671348,Kerala,Kasargod
Bedadka,671541,Kerala,Kasargod
Bedradka,671124,Kerala,Kasargod
Bekal,671318,Kerala,Kasargod
Bekur,671322,Kerala,Kasargod
Bela,671321,Kerala,Kasargod
Belluru,671543,Kerala,Kasargod
Bengalam,671314,Kerala,Kasargod
Beripadavu,671322,Kerala,Kasargod
Bheemanady,671314,Kerala,Kasargod
Bombrana,671321,Kerala,Kasargod
Chamnad,671317,Kerala,Kasargod
Chamundikunnu,671532,Kerala,Kasargod
Chandragiri,671317,Kerala,Kasargod
Charla,671323,Kerala,Kasargod
Chathamath,671314,Kerala,Kasargod
Chayoth,671314,Kerala,Kasargod
Chengala,671541,Kerala,Kasargod
Cheroor,671123,Kerala,Kasargod
Chervathur,671313,Kerala,Kasargod
Chimeni,671313,Kerala,Kasargod
Chippar,671322,Kerala,Kasargod
Chittari,671316,Kerala,Kasargod
Chittarikkal,671326,Kerala,Kasargod
Chully,671533,Kerala,Kasargod
Darkas,671533,Kerala,Kasargod
Delampady,671543,Kerala,Kasargod
Dharmathadka,671324,Kerala,Kasargod
Edachakai,671310,Kerala,Kasargod
Ednad,671321,Kerala,Kasargod
Edneer,671541,Kerala,Kasargod
Elambachi,671311,Kerala,Kasargod
Elerithattu,671314,Kerala,Kasargod
Erikulam,671314,Kerala,Kasargod
Haripuram,671531,Kerala,Kasargod
Heroor,671324,Kerala,Kasargod
Hidayathnagar,671123,Kerala,Kasargod
Hosabettu,671323,Kerala,Kasargod
Ichlangodu,671324,Kerala,Kasargod
Iriya,671531,Kerala,Kasargod
Iriyanni,671542,Kerala,Kasargod
Kadambar,671323,Kerala,Kasargod
Kaithakkad,671313,Kerala,Kasargod
Kakkebettu,671543,Kerala,Kasargod
Kalichanadukam,671314,Kerala,Kasargod
Kallakatta,671123,Kerala,Kasargod
Kallappally,671532,Kerala,Kasargod
Kalnad,671317,Kerala,Kasargod
Kanakappally,671533,Kerala,Kasargod
Kanathur,671542,Kerala,Kasargod
Kanhangad,671315,Kerala,Kasargod
Kanhangad South,671531,Kerala,Kasargod
Kanhiradkam,671531,Kerala,Kasargod
Kanhirapoil,671531,Kerala,Kasargod
Kannur,671321,Kerala,Kasargod
Karadka,671542,Kerala,Kasargod
Karindala,671314,Kerala,Kasargod
Karivedakam,671541,Kerala,Kasargod
Kasaragod,671121,Kerala,Kasargod
Kasaragod R s,671121,Kerala,Kasargod
Kattipoil,671314,Kerala,Kasargod
Kattukukke,671552,Kerala,Kasargod
Kayyaru,671322,Kerala,Kasargod
Kayyur,671313,Kerala,Kasargod
Keekan,671316,Kerala,Kasargod
Kidoor,671321,Kerala,Kasargod
Kilaikote,671313,Kerala,Kasargod
Kinanur,671533,Kerala,Kasargod
Kinningar,671543,Kerala,Kasargod
Kodiamme,671321,Kerala,Kasargod
Kodlamogaru,671323,Kerala,Kasargod
Kodoth,671531,Kerala,Kasargod
Kolathuri,671541,Kerala,Kasargod
Kolavayal,671531,Kerala,Kasargod
Koliyur,671323,Kerala,Kasargod
Kollampara,671314,Kerala,Kasargod
Konnakad,671533,Kerala,Kasargod
Kotakkat,671357,Kerala,Kasargod
Kotoor,671542,Kerala,Kasargod
Kottacherry,671315,Kerala,Kasargod
Kottamala Estate,671314,Kerala,Kasargod
Kottapuram,671341,Kerala,Kasargod
Kottody,671532,Kerala,Kasargod
Kudalmerkala,671324,Kerala,Kasargod
Kudlu,671124,Kerala,Kasargod
Kumbdaje,671551,Kerala,Kasargod
Kumbla,671321,Kerala,Kasargod
Kundankuzhy,671541,Kerala,Kasargod
Kunjathur,671323,Kerala,Kasargod
Kuntar,671543,Kerala,Kasargod
Kuntikana,671551,Kerala,Kasargod
Kurudapadavu,671322,Kerala,Kasargod
Kuttikolu,671541,Kerala,Kasargod
Madhur,671124,Kerala,Kasargod
Madikai,671314,Kerala,Kasargod
Maire,671552,Kerala,Kasargod
Majibail,671323,Kerala,Kasargod
Malakallu,671532,Kerala,Kasargod
Malla,671542,Kerala,Kasargod
Manadka,671541,Kerala,Kasargod
Mandapam,671326,Kerala,Kasargod
Mangalpady,671324,Kerala,Kasargod
Manikoth,671329,Kerala,Kasargod
Manimoole,671541,Kerala,Kasargod
Maniyat,671310,Kerala,Kasargod
Manjeshwar,671323,Kerala,Kasargod
Mavilakadapuram,671312,Kerala,Kasargod
Mayipady,671124,Kerala,Kasargod
Miyapadavu,671323,Kerala,Kasargod
Mogral,671321,Kerala,Kasargod
Mogral Puthur,671124,Kerala,Kasargod
Moodambail,671323,Kerala,Kasargod
Movval,671316,Kerala,Kasargod
Movvar,671543,Kerala,Kasargod
Mugu,671321,Kerala,Kasargod
Muliyar,671542,Kerala,Kasargod
Mulleria,671543,Kerala,Kasargod
Munnad,671541,Kerala,Kasargod
Muttathody,671123,Kerala,Kasargod
Muttomkadavil,671533,Kerala,Kasargod
Mylatti,671319,Kerala,Kasargod
Natakkal,671533,Kerala,Kasargod
Nekraje,671544,Kerala,Kasargod
Nettanige,671543,Kerala,Kasargod
Nileshwar,671314,Kerala,Kasargod
Nirchal,671321,Kerala,Kasargod
Olat,671310,Kerala,Kasargod
Ozhinhavalappu,671314,Kerala,Kasargod
Padimaruth,671531,Kerala,Kasargod
Padne,671312,Kerala,Kasargod
Padnekadapuram,671312,Kerala,Kasargod
Padnekkad,671328,Kerala,Kasargod
Padre,671552,Kerala,Kasargod
Paivalike,671348,Kerala,Kasargod
Pakkom,671316,Kerala,Kasargod
Pallathadka,671551,Kerala,Kasargod
Pallikere,671316,Kerala,Kasargod
Panathady,671532,Kerala,Kasargod
Panathur,671532,Kerala,Kasargod
Pandi,671543,Kerala,Kasargod
Paniyal,671318,Kerala,Kasargod
Panjikkal,671543,Kerala,Kasargod
Paraklayi,671531,Kerala,Kasargod
Paramba,671533,Kerala,Kasargod
Parappa,671533,Kerala,Kasargod
Parappa - delampady,671543,Kerala,Kasargod
Paravanadkam,671317,Kerala,Kasargod
Pathoor,671323,Kerala,Kasargod
Patla,671124,Kerala,Kasargod
Pavoor,671323,Kerala,Kasargod
Perdala,671551,Kerala,Kasargod
Periyanganam,671314,Kerala,Kasargod
Periye,671316,Kerala,Kasargod
Perla,671552,Kerala,Kasargod
Permude,671324,Kerala,Kasargod
Perumbala,671317,Kerala,Kasargod
Perumbatta,671313,Kerala,Kasargod
Pettikundu,671313,Kerala,Kasargod
Pilicode,671353,Kerala,Kasargod
Plachikara,671533,Kerala,Kasargod
Podavur,671313,Kerala,Kasargod
Pudukai,671314,Kerala,Kasargod
Pullur,671531,Kerala,Kasargod
Punnakkunnu,671533,Kerala,Kasargod
Puthariadukkam,671314,Kerala,Kasargod
Puthige,671321,Kerala,Kasargod
Rajapuram,671532,Kerala,Kasargod
Ramdasnagar,671124,Kerala,Kasargod
Ranipuram,671532,Kerala,Kasargod
Ravaneshwaram,671316,Kerala,Kasargod
Samekochi,671541,Kerala,Kasargod
Sankarampady,671541,Kerala,Kasargod
Shiribagilu,671124,Kerala,Kasargod
Shiriya,671321,Kerala,Kasargod
Talangara,671122,Kerala,Kasargod
Thaikadapuram,671314,Kerala,Kasargod
Thayanoor,671531,Kerala,Kasargod
Thekkil,671541,Kerala,Kasargod
Thekkilferry,671545,Kerala,Kasargod
Thuruthi,671351,Kerala,Kasargod
Timiri - chervathur,671313,Kerala,Kasargod
Trikarpur,671310,Kerala,Kasargod
Trikarpur Kadapuram,671310,Kerala,Kasargod
Trikarpur South,671311,Kerala,Kasargod
Udinur,671349,Kerala,Kasargod
Udma,671319,Kerala,Kasargod
Udumbanthala,671350,Kerala,Kasargod
Udyavara,671323,Kerala,Kasargod
Ukkinadka,671552,Kerala,Kasargod
Ullody,671321,Kerala,Kasargod
Umda - padinhare,671319,Kerala,Kasargod
Uppala,671322,Kerala,Kasargod
Uppala Gate,671322,Kerala,Kasargod
Uppilakai,671314,Kerala,Kasargod
Urdur,671543,Kerala,Kasargod
Valiaparaba,671312,Kerala,Kasargod
Valiapoil,671313,Kerala,Kasargod
Vallikadavu,671533,Kerala,Kasargod
Vaninagar,671552,Kerala,Kasargod
Vattamthatta,671542,Kerala,Kasargod
Vellap,671310,Kerala,Kasargod
Vellarikundu,671533,Kerala,Kasargod
Vidyanagar,671123,Kerala,Kasargod
Vorkadi,671323,Kerala,Kasargod
West Eleri,671314,Kerala,Kasargod
Yethadka,671551,Kerala,Kasargod
